127.0.0.1 - - [14/Nov/2023:00:52:39 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:52:39 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - root [14/Nov/2023:00:52:43 -0600] "GET /manager/text/reload?path=/ap HTTP/1.1" 200 72
127.0.0.1 - - [14/Nov/2023:00:52:43 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:43 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:52:45 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:45 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:52:45 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:45 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:52:45 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - root [14/Nov/2023:00:52:46 -0600] "GET /manager/text/reload?path=/ap HTTP/1.1" 200 72
127.0.0.1 - - [14/Nov/2023:00:52:46 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:46 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:52:52 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:52 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:52:53 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:53 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:52:53 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:53 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:52:53 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - - [14/Nov/2023:00:52:53 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:52:53 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:53:01 -0600] "GET /ap/a.html HTTP/1.1" 404 610
